Position,Name,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Rams,3800,LAR@MIA 11/01/2020 01:00PM ET,LAR,7.57
DST,Packers,2900,MIN@GB 11/01/2020 01:00PM ET,GB,5
DST,Dolphins,2400,LAR@MIA 11/01/2020 01:00PM ET,MIA,8
QB,Patrick Mahomes,8100,NYJ@KC 11/01/2020 01:00PM ET,KC,25.78
QB,Russell Wilson,7800,SF@SEA 11/01/2020 04:25PM ET,SEA,32.55
QB,Ryan Tannehill,6800,TEN@CIN 11/01/2020 01:00PM ET,TEN,23.97
QB,Joe Burrow,6200,TEN@CIN 11/01/2020 01:00PM ET,CIN,22
QB,Baker Mayfield,6100,LV@CLE 11/01/2020 01:00PM ET,CLE,16.04
QB,Kirk Cousins,6000,MIN@GB 11/01/2020 01:00PM ET,MIN,17.75
QB,Jimmy Garoppolo,5400,SF@SEA 11/01/2020 04:25PM ET,SF,13.32
RB,Dalvin Cook,7500,MIN@GB 11/01/2020 01:00PM ET,MIN,24.06
RB,Kareem Hunt,6900,LV@CLE 11/01/2020 01:00PM ET,CLE,16.41
RB,Giovani Bernard,5800,TEN@CIN 11/01/2020 01:00PM ET,CIN,8.36
RB,Myles Gaskin,5200,LAR@MIA 11/01/2020 01:00PM ET,MIA,14.2
RB,JaMycal Hasty,5000,SF@SEA 11/01/2020 04:25PM ET,SF,3.7
RB,J.K. Dobbins,4600,PIT@BAL 11/01/2020 01:00PM ET,BAL,7.63
RB,Le'Veon Bell,4600,NYJ@KC 11/01/2020 01:00PM ET,KC,6.07
RB,Zack Moss,4400,NE@BUF 11/01/2020 01:00PM ET,BUF,6.65
RB,La'Mical Perine,4300,NYJ@KC 11/01/2020 01:00PM ET,NYJ,4.45
TE,George Kittle,7000,SF@SEA 11/01/2020 04:25PM ET,SF,19.64
TE,Mark Andrews,5800,PIT@BAL 11/01/2020 01:00PM ET,BAL,12.38
TE,Trey Burton,3500,IND@DET 11/01/2020 01:00PM ET,IND,11.27
TE,Drew Sample,3400,TEN@CIN 11/01/2020 01:00PM ET,CIN,5.2
TE,Harrison Bryant,3200,LV@CLE 11/01/2020 01:00PM ET,CLE,6.09
TE,Demetrius Harris,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,1.64
WR,Davante Adams,8800,MIN@GB 11/01/2020 01:00PM ET,GB,27.72
WR,Tyler Lockett,7100,SF@SEA 11/01/2020 04:25PM ET,SEA,24.53
WR,A.J. Brown,6900,TEN@CIN 11/01/2020 01:00PM ET,TEN,20.8
WR,Brandon Aiyuk,5800,SF@SEA 11/01/2020 04:25PM ET,SF,12.65
WR,Cole Beasley,5300,NE@BUF 11/01/2020 01:00PM ET,BUF,14.86
WR,Rashard Higgins,4200,LV@CLE 11/01/2020 01:00PM ET,CLE,8.46
WR,Hunter Renfrow,3800,LV@CLE 11/01/2020 01:00PM ET,LV,9.22
WR,Denzel Mims,3200,NYJ@KC 11/01/2020 01:00PM ET,NYJ,8.2
